grid_index,up_passengers,off_passengers
106,3.0,231.0
107,9.0,82.0
108,0.0,2.0
109,0.0,0.0
110,0.0,0.0
111,0.0,6.0
112,5.0,5.0
113,2.0,8.0
114,2.0,195.0
115,1.0,229.0
116,6.0,89.0
117,1.0,59.0
118,0.0,2.0
119,0.0,0.0
120,1.0,0.0
121,1.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,13.0,28.0
134,29.0,423.0
135,36.0,294.0
136,68.0,1004.0
137,122.0,1147.0
138,70.0,1033.0
139,83.0,736.0
140,13.0,141.0
141,9.0,25.0
142,2.0,7.0
143,0.0,0.0
144,0.0,4.0
145,1.0,0.0
146,0.0,0.0
147,1.0,0.0
148,0.0,0.0
149,0.0,62.0
150,4.0,136.0
151,15.0,110.0
152,7.0,126.0
153,3.0,25.0
154,0.0,26.0
155,0.0,90.0
156,0.0,57.0
157,0.0,13.0
158,0.0,15.0
159,1.0,29.0
160,1.0,17.0
161,0.0,4.0
162,0.0,5.0
163,3.0,54.0
164,12.0,332.0
165,96.0,1043.0
166,91.0,1190.0
167,101.0,1014.0
168,83.0,1223.0
169,125.0,1418.0
170,69.0,927.0
171,47.0,410.0
172,0.0,51.0
173,13.0,164.0
174,14.0,83.0
175,8.0,6.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,1.0,0.0
180,0.0,0.0
181,4.0,52.0
182,0.0,5.0
183,5.0,17.0
184,0.0,28.0
185,56.0,88.0
186,16.0,123.0
187,19.0,267.0
188,3.0,312.0
189,0.0,39.0
190,0.0,23.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,82.0,2625.0
195,91.0,1661.0
196,38.0,745.0
197,59.0,1076.0
198,50.0,1050.0
199,163.0,1132.0
200,199.0,1516.0
201,125.0,1945.0
202,68.0,1066.0
203,25.0,656.0
204,63.0,649.0
205,27.0,404.0
206,10.0,236.0
207,0.0,1.0
208,0.0,0.0
209,2.0,2.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,18.0
214,0.0,1.0
215,0.0,0.0
216,0.0,0.0
217,14.0,10.0
218,4.0,52.0
219,2.0,46.0
220,7.0,155.0
221,11.0,275.0
222,0.0,146.0
223,1.0,6.0
224,0.0,0.0
225,0.0,0.0
226,78.0,1983.0
227,358.0,4865.0
228,77.0,1424.0
229,54.0,1258.0
230,37.0,824.0
231,125.0,940.0
232,305.0,1854.0
233,137.0,1769.0
234,212.0,1582.0
235,84.0,892.0
236,90.0,744.0
237,35.0,444.0
238,34.0,379.0
239,20.0,131.0
240,0.0,6.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,1.0
246,0.0,0.0
247,3.0,0.0
248,0.0,0.0
249,2.0,1.0
250,8.0,10.0
251,3.0,12.0
252,6.0,59.0
253,5.0,169.0
254,4.0,280.0
255,1.0,112.0
256,0.0,43.0
257,0.0,0.0
258,24.0,1169.0
259,311.0,3746.0
260,277.0,2149.0
261,75.0,1580.0
262,98.0,1589.0
263,644.0,2327.0
264,1298.0,6149.0
265,659.0,4736.0
266,464.0,2357.0
267,105.0,758.0
268,112.0,600.0
269,74.0,694.0
270,119.0,826.0
271,71.0,634.0
272,12.0,124.0
273,0.0,1.0
274,3.0,0.0
275,10.0,6.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,20.0,61.0
280,75177.0,31369.0
281,1082.0,15505.0
282,22.0,19.0
283,23.0,23.0
284,7.0,294.0
285,1.0,98.0
286,1.0,207.0
287,6.0,156.0
288,6.0,53.0
289,0.0,0.0
290,0.0,1.0
291,211.0,709.0
292,477.0,2632.0
293,650.0,4810.0
294,45.0,421.0
295,492.0,4814.0
296,928.0,5581.0
297,1714.0,9410.0
298,355.0,3378.0
299,121.0,877.0
300,173.0,1068.0
301,96.0,738.0
302,78.0,404.0
303,67.0,573.0
304,66.0,616.0
305,79.0,166.0
306,2.0,7.0
307,0.0,207.0
308,24.0,150.0
309,0.0,3.0
310,784.0,980.0
311,4732.0,3457.0
312,100936.0,36487.0
313,226017.0,50843.0
314,19.0,33.0
315,14.0,72.0
316,4.0,122.0
317,5.0,307.0
318,5.0,177.0
319,1.0,61.0
320,1.0,19.0
321,0.0,0.0
322,8.0,9.0
323,0.0,0.0
324,7.0,173.0
325,497.0,2154.0
326,2925.0,13982.0
327,2029.0,17575.0
328,99.0,460.0
329,2278.0,11260.0
330,417.0,6005.0
331,406.0,3361.0
332,400.0,1906.0
333,195.0,1208.0
334,257.0,978.0
335,222.0,1092.0
336,84.0,742.0
337,59.0,315.0
338,34.0,334.0
339,37.0,561.0
340,59.0,351.0
341,94.0,603.0
342,826.0,1887.0
343,1608.0,5616.0
344,2933.0,4664.0
345,132.0,1257.0
346,85.0,500.0
347,31.0,478.0
348,20.0,324.0
349,24.0,399.0
350,31.0,190.0
351,9.0,87.0
352,1.0,40.0
353,0.0,0.0
354,0.0,1.0
355,0.0,1.0
356,574.0,4110.0
357,5465.0,9299.0
358,5919.0,12227.0
359,11169.0,32968.0
360,8204.0,25827.0
361,3990.0,21982.0
362,2438.0,14887.0
363,1312.0,6415.0
364,645.0,3701.0
365,427.0,2186.0
366,194.0,876.0
